id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
32,c 南方嘎啊 09月23日 23:22 来自 HUAWEI Mate 60 Pro 2025-09-23[连续第3548天] 《用户价值》 在一款产品中，用户需要四大价值，这让我想到了我从零开始接触营销一直走到现在的过程。起初只是通过看书或者视频来了解什么是营销，这个就是认知价值，知道有这回事，也感觉自己听懂的。 后来来公司上班，从助理做起，开始有系统有体系的了解什么是营销，同 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,从零开始接触营销; 系统有体系的了解什么是营销; 感觉自己听懂的,文本主要描述了用户从零开始学习营销的过程，提到通过看书、视频和工作实践逐步理解营销。整体情绪较为中性，没有明显表达对职业发展、薪酬、内卷或身份认同的强烈焦虑。但提到‘从零开始’和‘系统有体系’可能暗示
33,c 外贸女浪子 09月19日 17:17 来自 OPPO A55s 5G 中年失业，一个人又做起了月入三万的工作 没想到，失业后的收入是打工的好几倍。做点铺这几年，我的收入从几千到如今的大几万，虽然不是什么值得炫耀的事情但对我而言却是可以让我提前躺平的最佳路径。 我是从20年开始接触外贸行业的，当时从南方辞职回来准备和朋友做点小生意可是屡屡碰壁，偶然一次 展开c,0.2,0.1,0.3,0.1,0.2,positive,0.85,中年失业; 收入是打工的好几倍; 提前躺平,文本整体情绪偏向积极，作者分享了自己从失业到收入提升的经历，表现出对现状的满意。然而，提到‘中年失业’和‘收入是打工的好几倍’暗示了对职业路径的不确定性（发展路径迷茫）以及对薪酬落差的潜在关注（薪酬落
34,c 王盐Charles 09月15日 22:30 来自 微博网页版 提问：王盐老师好，有个工作上的问题想请教您一下：我是应届生，在互联网实习。 前几天领导问我的找工作情况，说我在实习生中还可以，她也是面试官，让我去官网投下简历。但是第二天我在工作上不细心有问题，领导说了比较重的话，状态在她那不过关，当天我又解决了一个小问题，可能印象会好转一点。 展开c,0.45,0.3,0.1,0.6,0.5,negative,0.85,领导说了比较重的话; 状态在她那不过关; 可能印象会好转一点,文本中表现出明显的职场焦虑，尤其是在工作表现和身份认同方面。该应届生对自身表现的不确定性（如‘状态在她那不过关’）以及对领导评价的敏感性（如‘领导说了比较重的话’）显示出较高的职场内卷和身份认同焦虑。
35,c 影视禾木兄 09月14日 09:17 来自 职场超话 #禾木觉悟##禾你发声# 于东来说得对，中国的企业离成熟都很远，不要整天都在奋斗，生命质量很低，深有同感。 今天是周末，我也在休息，但其实还夹带一些工作，因为客户也在等、在急，你不得不启动本来打算休息的大脑。 想起社会高增长的那段时期，因为机会多，老板不怕你犯错，敢让你试、放手让你干 展开c,0.5,0.3,0.2,0.7,0.4,negative,0.85,中国的企业离成熟都很远; 生命质量很低; 夹带一些工作; 不得不启动本来打算休息的大脑; 老板不怕你犯错,文本中表达了对职场环境的不满和压力，尤其是提到‘中国的企业离成熟都很远’和‘生命质量很低’，显示出对职业发展和工作生活平衡的焦虑。同时，‘夹带一些工作’和‘不得不启动本来打算休息的大脑’表明了工作压力
36,c Mwgdwb 09月09日 08:04 来自 微博视频号 华人高管还是应该遵守忠诚边界，义子当先，给国人争气 LMwgdwb的微博视频 播放视频,0.1,0.1,0.1,0.2,0.1,neutral,0.75,华人高管还是应该遵守忠诚边界; 义子当先，给国人争气,文本内容主要表达对华人高管应遵守忠诚边界、维护国家形象的呼吁，整体情绪偏向中性。虽然提及‘义子当先’可能暗示某种责任或压力，但并未直接体现职业发展迷茫、薪酬落差、职场内卷或身份认同的焦虑。因此，四个维
37,c Sophia婧a 09月06日 16:15 来自 微博视频号 #全民精神文明时代# ， 我人生的道路非常的简单，实际上就是渐渐长大，学习，工作，每天2.1线，但我又天生自由，又有点小反骨，不太喜欢职场的环境，于是乎，我在互联网各大平台有自己的账号，成为了一名自由职业者。然而，在这样的过程当中，2023年11月7号，我忽然想出来看看这个世界，于是带着包走 展开c 播放视频,0.3,0.4,0.2,0.1,0.3,neutral,0.85,人生的道路非常的简单; 不太喜欢职场的环境; 成为了一名自由职业者; 忽然想出来看看这个世界,文本中提到‘人生的道路非常的简单’，表现出对传统职业路径的反思；‘不太喜欢职场的环境’暗示了对职场氛围的不适，但并未明确表达强烈的焦虑。‘成为了一名自由职业者’表明尝试寻找新的身份认同，但未提及具体焦
38,c 囤货手册 09月05日 07:06 来自 微博网页版 38条对女生有利的想法 1、凡事两句话 关你屁事，关我屁事。这两句话能为你减少人生80%的烦恼。 2、不要害怕花钱 钱不是省出来的，该花的时候还是要花。花不等于有罪，很多时候买好点，可以用更久，比起便宜的，其实更划算。 3、不做他人的情绪垃圾桶 我的老师曾说过:“情绪价值是可以当现金用的!” 展开c,0.15,0.1,0.2,0.1,0.1,neutral,0.85,凡事两句话 关你屁事，关我屁事; 不要害怕花钱; 情绪价值是可以当现金用的,该文本主要提供了一些生活和职场建议，旨在帮助读者减少烦恼、提升自我价值感。虽然其中提到‘情绪价值’等概念，但并未直接表达对职业发展、薪酬、内卷或身份认同的强烈焦虑。整体语气较为中性，偏向积极引导，因此
39,c 小圆吃瓜 08月31日 14:31 感觉我已经学会了自洽，互联网给我带来的全都是答题技巧 领导说他很年轻的时候就出来养家了，又有胆识又能吃苦，和我们这代懒人不一样，我倾听许久，给了他一个reaction：“主要是你的原生家庭太差。” 他的沉默，我一直回味到了周日。这一周，我把自己的乳腺养得很好。 昨天逛商场，有个销 展开c,0.45,0.3,0.2,0.5,0.6,negative,0.85,感觉我已经学会了自洽; 互联网给我带来的全都是答题技巧; 他的沉默，我一直回味到了周日; 我把自己的乳腺养得很好,文本中透露出一种对职场环境的无奈与自我调节的情绪。‘感觉我已经学会了自洽’和‘互联网给我带来的全都是答题技巧’暗示了对职业发展路径的迷茫（career_path_confusion）。‘他的沉默，我一
40,c 梦缘亭思 08月21日 06:32 来自 微博视频号 （社会）实力带来底气 文/蓝天（梦缘亭思） 大家好，我是笔者蓝天。今天我想和大家深入探讨一个话题，那就是“实力带来底气”。在我们生活的这个世界里，实力就像是一把万能钥匙，它能为我们打开一扇扇通往成功与自信的大门。 先让我们来看看什么是实力。实力不仅仅 展开c 播放视频,0.0,0.0,0.0,0.0,0.0,neutral,0.95,实力带来底气; 实力就像是一把万能钥匙,文本内容主要围绕‘实力带来底气’这一主题展开，强调实力对成功与自信的重要性，整体语气积极且具有启发性。文中未提及任何具体的焦虑情绪，如职业发展方向不明确、薪酬落差、职场内卷或身份认同问题。因此，四个维
41,c Miss汉谟拉比 08月19日 12:13 转赞人数超过100 来自 Xiaomi 13 Ultra 你拥有的东西， 最终会左右你。 所以要精心选择。 ——《宝贵的人生建议》 我觉得这句话是很有道理的，比如我经常说，不要以为啊是你在写作，你的文字也在塑造着你。比如你只会发别人的东西，你只会写情绪的东西，你的思维就会停留在容易的流量还有情绪里，长此以往，大脑会习惯“即时满足”与情绪宣 展开c,0.3,0.2,0.1,0.4,0.3,neutral,0.85,不要以为啊是你在写作，你的文字也在塑造着你; 你的思维就会停留在容易的流量还有情绪里; 长此以往，大脑会习惯“即时满足”与情绪宣,文本主要围绕个人成长和思维模式展开，提到‘你的文字也在塑造你’和‘思维停留在流量和情绪里’，暗示对自身发展路径的反思，体现出一定的职场内卷焦虑（如工作压力大、竞争激烈）和身份认同焦虑（对自己角色的不确
42,c 糖先生的密室 08月16日 18:34 来自 唐果和他的朋友们超话 不敢开口去争取自己的重大利益，根本原因在哪里 糖先生的密室的专属圈子超话唐果和他的朋友们超话 先讲个故事。 去年7月，朋友小李工作的互联网大厂做年度调薪。 小李因为去年连续拿下三个核心项目，绩效是A+，但公司邮件里只给他涨了8%。 同部门的小张绩效是B，却因为会哭的孩子有奶吃 展开c,0.75,0.6,0.9,0.7,0.8,negative,0.85,不敢开口去争取自己的重大利益; 会哭的孩子有奶吃; 绩效是A+; 涨了8%; 根本原因在哪里,文本中通过小李的案例表达了对薪酬落差（仅涨8%）和职场内卷（小张因会哭而获得更高待遇）的强烈不满，体现出明显的焦虑情绪。同时，提到‘不敢开口’和‘根本原因在哪里’反映出对职业发展路径的迷茫和身份认同的
43,c 扑向大海的小黑猫 08月15日 23:31 来自 Skp饲养员iPhone客户端 入职两个月，我觉得自己像是被丢进了一个全新的世界。 第一次进这么正规的公司，福利待遇都不错，流程清晰。第一次碰到这么正常的同事和领导。第一次发现，原来身边的人可以优秀到这种程度。 破冰活动聊到 fun fact check，同事们一个比一个精彩： 有人集齐了国内Top5互联网公司的 offer，有人从大厂 展开c,0.3,0.2,0.1,0.4,0.3,neutral,0.85,第一次进这么正规的公司; 第一次碰到这么正常的同事和领导; 原来身边的人可以优秀到这种程度,文本中表达了对新环境的适应和观察，提到‘第一次’的经历，显示出一定的不熟悉感。虽然没有直接表达焦虑情绪，但提到‘身边的人可以优秀到这种程度’暗示了潜在的职场内卷压力和身份认同的不确定性。整体情感倾向为
44,c 汤六爷 08月12日 13:31 来自 微博视频号 上班是让他玩明白了，真的笑惨了！ #不上班后才看清的真实现状# L汤六爷的微博视频 播放视频,0.1,0.1,0.1,0.2,0.1,neutral,0.75,上班是让他玩明白了; 笑惨了,文本内容主要表达了一种轻松调侃的语气，提到‘上班是让他玩明白了’和‘笑惨了’，显示出一种对职场现象的幽默观察，而非直接表达焦虑情绪。因此整体焦虑指数较低。四个维度中，职场内卷（如工作压力大、竞争激烈）
45,c 博学视界 08月11日 22:31 来自 微博视频号 #刘晓光Savvy直播# @刘晓光Savvy 分析试用期成败原因，强调自信与客观心态，指出职场成长关键在于开放思维和有效指导。 L博学视界的微博视频 播放视频,0.0,0.0,0.0,0.0,0.0,neutral,0.95,试用期成败原因; 自信与客观心态; 职场成长关键在于开放思维和有效指导,该文本主要聚焦于职场成长的建议，强调自信、开放思维和有效指导的重要性，未提及任何具体的焦虑情绪或负面体验。因此，在四个维度上均未发现明确的焦虑表达，整体焦虑指数为0。情感倾向为中性，内容偏向教育性和指
46,c 姬永锋 08月11日 10:15 在环京楼市里赔掉十年的年轻人（下） 摘自每人作者 每日人物 困在环京楼市里 我2009年毕业，留在北京工作，因为在老家县城很少能找到合适的岗位，我是北方人，也没想过去其他城市，能留在北京安家最好了。 天津其实并不是我最早买下的环京房，2013年，我在大厂回族自治县买了一套，房价和税加在一 展开c,0.3,0.2,0.1,0.4,0.3,negative,0.75,赔掉十年; 困在环京楼市里; 没有想过去其他城市,文本主要描述了一个人在环京楼市中因购房投资失败而产生的经济和心理压力，反映出对职业发展路径的迷茫（如‘留在北京安家最好’），以及对自身身份归属的不确定（如‘没想过去其他城市’）。虽然未直接提到薪酬或职
47,c 王盐Charles 08月02日 18:30 来自 微博网页版 没经验怎么做部门负责人？ 网友提问：我原本是在互联网行业的市场营销岗，对于纯线上的营销推广较熟悉，现在跳槽到餐饮行业的市场营销岗，比起以前，需要结合门店来运作一些营销活动了，面对的用户群体也完全不一样。 并且我是作为部门负责人负责这项业务， 现在的心态十分得害怕和不稳定，因为自己 展开c,0.75,0.8,0.2,0.6,0.9,negative,0.85,没经验怎么做部门负责人？; 心态十分得害怕和不稳定; 面对的用户群体也完全不一样; 作为部门负责人负责这项业务,文本中明确表达了对新岗位职责不熟悉、缺乏信心，以及角色转变带来的不安，体现出强烈的身份认同焦虑（0.9）和职业发展迷茫（0.8）。虽然提到工作压力大，但未直接提及薪酬问题，因此薪酬落差较低（0.2）。
48,c 尺寸草莓味大号超薄 07月30日 20:14 转赞人数超过100 来自 iPhone 16 Pro Max 我现在已经不太喜欢去处理那些疯狂谩骂我的人了，我刚做博主的那会处理过，造黄谣的，爆我地址的，男生女生都有，结果皮下就是未成年，还在上学呢，还是留守儿童，家里老人带的那种，你说我处理吧没有那个必要，不处理吧又叽叽喳喳的，都一帮小屁孩，我搞那么认真显得我很小气。 如果是成年人工作者闲 展开c,0.3,0.2,0.1,0.4,0.3,negative,0.85,不太喜欢去处理那些疯狂谩骂我的人; 造黄谣的，爆我地址的; 都一帮小屁孩; 搞那么认真显得我很小气,文本中主要表达了对职场中恶意行为（如谩骂、造黄谣、泄露个人信息）的无奈和不满，体现出一定的职场内卷（workplace_involution）和身份认同（identity_crisis）焦虑。作者提到
49,c 辉煌_爱 07月28日 08:54 来自 微博网页版 2025年运动打卡第117天。中年最重要的是认知和心态的提升，加强学习，加强历练，极致自我。保持好心态，接受并创造价值。 今日听书摘记： 是不是系关注了过多的繁杂的信息？是不是从信息当中没有甄选，然后是不是不懂得跟陌生人连接，而是整天混在熟人圈子里头啊？所以在我看来，您这本书最重要的使命 展开c,0.15,0.2,0.1,0.1,0.2,neutral,0.85,对职业发展方向不明确; 加强学习，加强历练; 不懂得跟陌生人连接,文本整体呈现一种自我反思和提升的中性语气。虽然提到‘认知和心态的提升’以及‘加强学习’，但并未直接表达对职业发展路径、薪酬待遇或职场竞争的强烈焦虑。然而，提及‘是不是系关注了过多的繁杂的信息？是不是从
50,c SodaBella 07月27日 17:42 来自 微博音频 #用音频给生活转个场# #晚安音频电台# 本期编辑：@SodaBella @朝与黎 本期主播：@刘不绝 @SodaBella 本期脑图： 本期概述： 本期我们反思“过来人”身份，强调不应指责他人，而应以平等和理解的态度面对问题。讨论覆盖了教育、家庭、个人成长，提醒提出建议时需考虑社会多元性和个体差异。此外，探讨了 展开c 播放视频,0.1,0.1,0.1,0.1,0.1,neutral,0.85,反思‘过来人’身份; 不应指责他人; 平等和理解的态度; 社会多元性; 个体差异,该文本主要围绕职场中对‘过来人’身份的反思，强调以平等和理解的态度面对问题，讨论涉及教育、家庭和个人成长。文本没有直接提及职业发展方向不明确、薪酬落差、工作压力或身份认同问题，因此四个维度的焦虑指数均
51,c 方糖的津味儿生活 07月23日 19:38 来自 HUAWEI Mate 40 Pro 🎊新老朋友，你们好 我是方糖，一名7年外企职场人，也是一个3岁男宝的妈妈。 👂🏻我的经历： 1️⃣曾经的小镇做题家，高考失利，后从普通二本逆袭考入双一流985高校研究生，期间发表学术论文6篇，2篇SCI，一篇TOP，并获得大连市优秀毕业生的荣誉。 2️⃣我是一名农村孩子，从小被穷人的劣根 展开c,0.3,0.2,0.1,0.4,0.3,neutral,0.85,小镇做题家; 高考失利; 农村孩子; 穷人的劣根,文本主要描述了方糖的个人经历，包括从普通二本到双一流高校的逆袭、学术成就以及作为农村孩子的背景。这些内容显示出她对自身成长路径的回顾和反思，但并未明确表达出对职业发展方向、薪酬待遇或职场竞争的强烈焦虑
52,c 奇闻趣事大喇叭 07月10日 12:23 来自 微博视频号 王继业脱口秀演绎“打工皇帝”传奇，单口喜剧引爆现场 #蔡康永# #喜剧之王单口季# L奇闻趣事大喇叭的微博视频 播放视频,0.0,0.0,0.0,0.0,0.0,neutral,0.95,打工皇帝; 单口喜剧引爆现场,该文本主要描述了一则关于王继业在脱口秀中演绎‘打工皇帝’的新闻，内容偏向娱乐和轻松，没有直接提及与职场焦虑相关的具体问题，如职业发展方向、薪酬落差、内卷或身份认同等。因此，四个维度的焦虑指数均为0，整
53,c 陈_陈_96 07月05日 02:17 来自 iPhone客户端 EP1： 今天听了一期杨天真的播客，最近的心态和情绪起伏好似得到了一些莫名的慰藉和救赎，虽然自己也没有完全理明白，但好像在荒草横纵的迷林中找到了一道小小出口，攥住了一丝厘清现状的希望。 文字和阅读给人带来的影响力和改变力确实比人想象中的要大，速食主义的时代超过三行的文字 展开c,0.3,0.4,0.1,0.2,0.3,positive,0.85,荒草横纵的迷林中找到了一道小小出口; 攥住了一丝厘清现状的希望,文本中提到‘荒草横纵的迷林’和‘找到小小出口’，暗示了对职业发展方向的迷茫（career_path_confusion），但同时也表达了通过阅读获得慰藉和希望，因此整体情绪偏向积极。薪酬落差、职场内卷
54,c 谭恋爱同学 07月04日 21:06 转赞人数超过30 来自 iPhone 16 我和我的心理咨询师讨论了即将可能要结束的互联网大厂的工作，还有我自己的事业。 记录和心理咨询师的对话，能够让我觉察自己的内在。 咨询师：小谭，你在描述的是，你即将开启一些你觉得还是有很有希望的工作的一种模式。但是因为失去了一个稳定的支撑，就像你说的，有一份工资，有一个很能够支撑你 展开c,0.6,0.7,0.4,0.5,0.6,negative,0.85,即将可能要结束的互联网大厂的工作; 失去了一个稳定的支撑; 有一份工资，有一个很能够支撑你,文本中提到‘即将可能要结束的互联网大厂的工作’和‘失去了一个稳定的支撑’，表明对职业发展方向存在明显的不确定性，因此‘发展路径迷茫’得分较高。虽然没有直接提到薪酬问题，但‘有一份工资’暗示了对当前收入
55,c 复旦大学 06月29日 13:50 来自 复旦大学超话 #旦·生活##宝藏大学安利计划#复旦大学超话 从文史哲课堂走向互联网职场，复旦毕业生们用经历证明：专业从来不是职业发展的枷锁！ 一起来听听三位学长的经验之谈吧🙌 视频｜李玲 L复旦大学的微博视频 播放视频,0.1,0.1,0.1,0.1,0.1,positive,0.95,专业从来不是职业发展的枷锁; 用经历证明,该文本整体呈现积极向上的态度，强调复旦毕业生通过自身努力突破专业限制，在职场中取得成功。文中没有直接提及焦虑相关的内容，如对职业方向的迷茫、薪酬不满、工作压力或身份认同问题。因此，四个维度的焦虑指数均
56,c 油菜幸福版 06月28日 20:59 来自 iPhone 16 Pro 为什么看着路过的酒管就突然进来点上了一杯呢 我在想原因 不是因为悲伤也不是开心 心情沉沉的也但没有平常面对酒的害怕和抵触 大概是我也在感叹我的成长吧 开心我在这种没背景没钱没人脉没学习的乡村长大，没有被长歪，没有被带坏，还长到了现在清醒又努力的样子三观也在成长蜕变 真的很为我开心 惊 展开c,0.2,0.1,0.0,0.1,0.3,positive,0.85,没有被长歪，没有被带坏; 清醒又努力的样子; 三观也在成长蜕变,文本整体情绪是积极的，表达了自我肯定和成长的喜悦。虽然提到‘心情沉沉的’和‘感叹我的成长’，但并未表现出对职业发展、薪酬或职场竞争的直接焦虑。然而，‘身份认同’方面有轻微焦虑，如‘我是否在正确的位置上
57,c 赵刚Andrew 06月23日 15:17 来自 微博网页版 #留学申请季##留学帮帮忙##高考加油##全民高考应援##出国留学# 留学最好的时候已经过去了？ 国际教育知名媒体人 赵刚 2016年、2017年我先后撰写出版了《到英国去》《留学的逻辑》两本书，在国内留学圈产生了一些反响，这些书曾作为一些留学中介、国际教育机构的培训资料。当时我还在担任英国大学 展开c,0.2,0.1,0.1,0.3,0.2,neutral,0.75,留学最好的时候已经过去了？; 国际教育知名媒体人,文本内容主要围绕留学趋势的讨论，提及作者曾撰写相关书籍并被用作培训资料，但并未直接表达个人焦虑情绪。因此，整体焦虑指数较低。在四个维度中，职场内卷（0.3）稍高，可能源于对行业竞争或变化的隐含担忧；其
58,c 有钱幸福漂亮蛙 06月10日 23:16 来自 iPhone客户端 前天刷到一个职场宝妈分享日常妆容穿搭的视频，弹幕上就有说“这是夜场妈咪吧”“以为在商k上班”，她只是化了妆，穿着并没有暴露，行为语言没有擦边，就会被这么说。 昨晚看关注的一个博主直播，弹幕里一直有一个黑子，骂他装货啥啥的，在他提及近期的状态，说到他妈妈前阵子去世这个事情时，弹幕里的 展开c,0.4,0.2,0.1,0.5,0.6,negative,0.85,被说‘夜场妈咪’; 黑子骂他装货; 提到妈妈去世,文本中主要反映了职场身份认同的焦虑（如被误解为‘夜场妈咪’，以及被黑子攻击），因此在‘身份认同’维度得分较高。同时，职场内卷（如被攻击、负面评论）也表现出一定焦虑。而职业发展路径和薪酬落差在文本中没有
59,c 皮皮推 06月10日 22:55 转赞人数超过100 #余承东晒AI视频庆祝入职华为32周年#工作这么多年，我待过最长时间的，就是上一家单位，我是从2017年入职的，2023年正式离职，在那里待了整整6年时间，除了老板待了10年以上，其它人最多就比我多1-2年。 能在一家公司待5-6年，其实是迫不得已，毕竟那时候已经30岁左右了，上有老下有小，还有房贷要还 展开c,0.5,0.4,0.3,0.6,0.5,negative,0.85,能在一家公司待5-6年，其实是迫不得已; 上有老下有小，还有房贷要还,文本中表达了对职业发展路径的一定迷茫（如提到在一家公司待了6年，但未明确表达是否满意或有晋升），薪酬落差方面提及了生活压力（如房贷、家庭负担），但没有直接提到薪资对比；职场内卷体现在长期工作的无奈感和
60,c 思维螺旋 06月10日 20:27 转赞人数超过200 有两个思维是不对的：第一个是成功的时候就“成功都是因为我牛逼”，第二个领罚的时候就说“为什么单罚我，别人也很差”。 我先说第一点。有的网友说，网红吃青春饭，成功了靠自己青春美貌。 这没有错。但是除了她自己青春美貌，她也靠移动互联网。 这个基础设施，是国家打下的，不是任何互联网公司 展开c,0.2,0.1,0.1,0.3,0.2,neutral,0.85,成功都是因为我牛逼; 为什么单罚我，别人也很差; 国家打下的; 基础设施,文本主要讨论了对成功和失败归因的两种错误思维，并提到成功背后有外部因素（如国家基础设施）。虽然没有直接表达焦虑情绪，但通过分析职场中常见的归因偏差，暗示了对自身能力与外部环境关系的思考。因此，在‘职场
61,c 三十出头张小莫 06月09日 01:25 来自 iPhone客户端 【颜值】确实是阶级攀升的【隐形门槛】 周末健身的时候正好听到计算机科学家，前腾讯总裁吴军博士的分享，他讲到说如果你作为一个非常上进，要去读NBA进修的“精英”要注意的要点 其中说到MBA面试时，表面不承认但私底下又心照不宣的标准，让我有点意外 1，为什么MBA面试一定要打扮的漂亮帅气 他说 展开c,0.4,0.3,0.2,0.5,0.4,negative,0.85,颜值确实是阶级攀升的隐形门槛; MBA面试时，表面不承认但私底下又心照不宣的标准; 让我有点意外,文本中提到‘颜值是阶级攀升的隐形门槛’和‘MBA面试有心照不宣的标准’，反映出对职场竞争和外在条件（如外貌）影响职业发展的担忧，这体现了职场内卷（0.5）和身份认同焦虑（0.4）。虽然没有直接提到职业
62,c 张匀飞_Fay 06月04日 15:27 来自 nova12系列出色蓝不住 🪪ESTJ，一个拒绝消费主义、追求自我实现、事业心很重、上进心很强的女的，信奉99%的问题归根结底是经济问题，211本硕。 Hi 朋友们，我是张匀飞，感谢互联网让我们相遇。 在这个帖子里我简单介绍一下自己。 正如开头所说，我是一个学不会松弛的人。我渴望成就，包括健康、心态、事业、财富等不同 展开c 张匀飞_Fay 的微...,0.6,0.5,0.3,0.7,0.6,negative,0.85,焦虑的本质是透支过去的影响力+预支未来的恐惧+忽略当下的力量; 纠结于过去某件事对自身的影响; 通过对未来各种风险、困难的想象吓唬自己; 把重点放在了决定不了的事情上,文本中明确提到‘焦虑的本质’，并详细描述了焦虑的形成机制，表明作者正在经历明显的焦虑情绪。从内容来看，作者强调自己是一个‘学不会松弛的人’，渴望成就，这可能暗示她对职业发展和自我实现有较高期待，但同时
63,c 箐南 05月22日 11:40 转赞人数超过6900 来自 微博视频号 #家政阿姨说旷野上全是牛马# 没想到家政阿姨们说起互 联 网 hei 话，比大厂员工还要6！全 域 运 营、闭 环 管 理、颗 粒 度……张口就来！打工人说自己是牛马，想活出旷野人生，但家政阿姨说旷野上全是牛马。还有那句“干 得 太 慢 被 嫌 弃 效率低，干得太快被质疑性价比”简直说出打工人的心声 展开c 播放视频,0.65,0.4,0.3,0.8,0.5,negative,0.85,干得太慢被嫌弃效率低，干得太快被质疑性价比; 旷野上全是牛马; 打工人说自己是牛马,文本中通过‘干得太慢被嫌弃效率低，干得太快被质疑性价比’直接表达了职场内卷带来的焦虑感，因此 workplace_involution 得分较高（0.8）。同时，提到‘打工人说自己是牛马’和‘旷野上全
64,c haughty彤 05月15日 00:35 来自 iPhone 快离职了，随便写点： Why：这个问题其实已经明确很久了 1、无意义感：已经度过了早期的成长期，目前工作内容重复了很久，没有成长的意义感，也没有太多动力。 2、束缚感：即使没有工作，也要坐在这里磨洋工、装样子，很多时候确实是没苦硬吃（可以装，但是接受不了大晚上也装） 3、焦虑感：35岁被干掉 展开c,0.75,0.8,0.4,0.6,0.7,negative,0.9,无意义感; 束缚感; 焦虑感：35岁被干掉; 随便写点,文本中表达了强烈的对职业发展路径的迷茫（如‘已经度过了早期的成长期，目前工作内容重复了很久，没有成长的意义感’），以及对年龄带来的职场压力的焦虑（如‘35岁被干掉’）。虽然未直接提及薪酬落差，但存在一
